Part,Hardware,Face,X,Y,Z,Diameter,Depth,Flag
001,shelf pin 5mm,top,30,90,0,5,8,
001,shelf pin 5mm,top,30,250,0,5,8,
001,drawer slide runner,top,200,150,0,5,12,
001,shelf pin 5mm,top,30,410,0,5,8,
001,shelf pin 5mm,top,30,570,0,5,8,
002,shelf pin 5mm,top,530,90,0,5,8,
002,shelf pin 5mm,top,530,250,0,5,8,
002,drawer slide runner,top,360,150,0,5,12,
002,shelf pin 5mm,top,530,410,0,5,8,
002,shelf pin 5mm,top,530,570,0,5,8,
003,dowel 8mm,edge,40,0,0,8,25,
003,minifix cam connector,top,282,40,0,15,13,
003,dowel 8mm,edge,524,0,0,8,25,
004,dowel 8mm,edge,282,0,0,8,25,
004,minifix cam connector,top,282,300,0,15,13,
005,back screw 5mm,top,300,360,0,5,8,
005,back screw 5mm,top,100,50,0,5,8,
005,back screw 5mm,top,500,50,0,5,8,
007,hinge 35mm cup,top,40,120,0,35,11,
007,hinge 35mm cup,top,40,580,0,35,11,
008,hinge 35mm cup,top,257,120,0,35,11,
008,hinge 35mm cup,top,257,580,0,35,11,
101,shelf pin 5mm,top,30,150,0,5,8,
101,shelf pin 5mm,top,30,300,0,5,8,
101,shelf pin 5mm,top,30,450,0,5,8,
102,shelf pin 5mm,top,290,150,0,5,8,
102,shelf pin 5mm,top,290,300,0,5,8,
102,shelf pin 5mm,top,290,450,0,5,8,
103,dowel 8mm,edge,40,0,0,8,25,
103,minifix cam connector,top,282,40,0,15,13,
104,dowel 8mm,edge,524,0,0,8,25,
104,minifix cam connector,top,282,40,0,15,13,
105,back screw 5mm,top,300,350,0,5,8,
107,hinge 35mm cup,top,60,120,0,35,11,
107,hinge 35mm cup,top,60,576,0,35,11,
